Category,Question
what,what golfer has been called ohio fats and blobbo ? 
who,who murdered leno and rosemary labianca on august 1 
what,what is the average cost for four years of medical school ? 
what,what does god create in the first sentence of the bible ? 
unknown,which of the following men was not married to rita hayworth ? 
what,what is the current ticket fare from from cairo to barbados ? 
what,what does nn o `` mean when used as a prefix in irish surnames ? 
unknown,how do you find oxidation numbers ? 
what,what is the state nickname of mississippi ? 
what,"what is black hills , south dakota most famous for ? "
what,what 1966 boob tube bomb took astronauts back to prehistoric times ? 
unknown,how many students attend the university of massachusetts ? 
who,"who said , `` i shall return . '' during world war two ? "
what,what holidays are celebrated in ireland ? 
who,"who portrayed etta place , companion to butch cassidey and the sundance kid ? "
what,what are the greek numerals ? 
what,what 's the name of the temple that is located near the capital city of laos ? 
what,what is a fear of sleep ? 
what,what auto race was wilbur reed the first to win three times ? 
what,what are the most common breeding birds in the u.s. ? 
what,"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ? "
unknown,how do you look up criminal records on the internet ? 
unknown,"where is the actress , marion davies , buried ? "
what,what is an example of an actual case of using the fourteenth amendment ? 
who,who was the charlie perfume woman ? 
who,who portrayed `` rosanne rosanna-dana '' on the television show `` saturday night live '' ? 
affirmation,is there a cab available for airport? 
affirmation,is it raining outside ? 
affirmation,is there any pizza left ? 
affirmation,is there a truck parked infront of the house ? 
when,what time does the flight leave ? 
when,what time does the train arrive ? 
when,what time do we go to the mall ? 
when,what time are we leaving ? 
when,what time does the president give his speech ? 
when,what time do you go to the school ? 
when,what time are you planning to leave ? 
when,what time are you thinking of going to the dentist ? 
when,what time is it right now ? 
who,who was gerald ford 's vice president ? 
who,who invented batteries ? 
who,who did sonny liston succeed as world heavyweight boxing champion ? 
unknown,whose video is titled shape up with arnold ? 
who,who 's the twin brother of the greek goddess artemis ? 
who,who was america 's first public enemy no. 1 ? 
who,who is dear abby ? 
who,"who lives at 24 sussex drive , ottawa ? "
who,who was monet ? 
who,who was the famous door-to-door brush salesman ? 
who,who is always trying to get the rent from andy capp ? 
who,who did jackie kennedy commission to write the death of a president ? 
who,who sought to create the great society ? 
who,who said : `` soldiers win the battles and generals get the credit '' ? 
who,who is the current un secretary general ? 
who,"who provides telephone service in orange county , california ? "
who,who was lacan ? 
who,who was the secretary of war in the civil war during the battle of gettysburg ? 
who,who did bobby fischer beat to win the world chess championship ? 
who,who lives at 39 stone canyon way ? 
who,who played humpty dumpty in the 1933 film alice in wonderland ? 
who,"who is karenna gore , al gore 's oldest daughter , married to ? "
who,who played the title role in i was a teenage werewolf ? 
who,who was the inventor of the stove ? 
who,who was the king who was forced to agree to the magna carta ? 
who,who was made the first honorary citizen of the u.s. ? 
who,who is known as `` the world 's oldest teenager '' ? 
who,who was with patricia hearst the night she was kidnaped ? 
who,who advised listeners to `` see the u.s.a. in your chevrolet '' ? 
who,who sang about desmond and molly jones ? 
who,who developed the first polio vaccine ? 
who,who made the first gas engine ? 
who,who sells viagra ? 
who,who was darius ? 
who,who did dita beard work for ? 
who,who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ? 
who,who is the best known villain of the 165 gunpowder plot ? 
who,"who killed more people , hitler or stalin ? "
who,who is nicolo paganini ? 
who,who portrayed dracula in hammer studios ' films ? 
who,who was jean nicolet ? 
who,who was the original humpty dumpty ? 
unknown,whose cupboard was bare ? 
who,who invented the vacuum cleaner ? 
who,"who does shakespeare 's antonio borrow 3 , 0 ducats from ? "
who,who is the voyager project manager ? 
who,who replies `` i know '' to princess leia 's confession `` i love you '' in the empire strikes back ? 
who,who won the 1967 academy award for best actor ? 
who,who was the first taiwanese president ? 
who,who is luke skywalker 's father ? 
who,who was jane goodall ? 
who,"who created the comic strip , `` garfield '' ? "
who,who is the current prime minister and president of russia ? 
who,who established a viking colony in greenland about 985 ? 
who,who shot and killed himself while painting wheatfield with crows ? 
who,who was the architect of central park ? 
who,who were the yankee 's frequent enemies ? 
who,who wrote sons and lovers ? 
who,who was the star of leave it to beaver ? 
who,who did richard nixon tender his resignation to ? 
who,who was thucydides ? 
who,who took over as conductor of the boston pops after arthur fiedler 's long reign ? 
who,who is the fastest guitarist ? 
who,who betrayed norway to the nazis ? 
who,who took the toys donated for the doodyville orphans ' fund and kept them for himself ? 
who,who were the picts ? 
who,who is stationed at camp swampy in the comic strips ? 
who,who wrote the look of love after viewing ursula andress ? 
who,who claims to have the greatest show on earth ? 
who,who invented the paper clip ? 
unknown,whom did lauren bacall marry after her husband humphrey bogart died ? 
who,"who created the fantastic four , hulk , and thor ? "
who,who is the composer of `` canon in d major '' ? 
who,who was the author of the novel `` far from the madding crowd '' ? 
who,who was camp david named for ? 
who,who portrayed `` the man without a face '' in the movie of the same name ? 
who,who won the first world series ? 
who,who is samuel pickering ? 
who,who was credited with saying : `` i never met a man i did n't like '' ? 
who,who created big ben ? 
who,who played the title role in my favorite martian ? 
who,who invented the game scrabble ? 
who,who is considered the first lady of the american stage ? 
who,who penned : `` neither a borrower nor a lender be '' ? 
who,who headed hitler 's infamous gestapo ? 
who,who made the musical plea be true to your school ? 
who,who made stonehenge ? 
who,who 's the founder and editor of the national review ? 
who,who was the first governor of west virginia ? 
who,who was the first woman to fly solo across the atlantic ? 
who,who started the dominos pizza chain ? 
who,"who is the famous movie star who also acted as sewer commissioner of provo canyon , utah ? "
who,who portrayed vincent van gogh in lust for life ? 
who,who was known as the time master in comic books ? 
who,who is the father of the computer ? 
who,who said : `` old soldiers never die ; they just fade away '' ? 
who,who 's the only man to have won the olympic decathlon twice ? 
who,who was the second man to walk on the moon ? 
who,who is the pope ? 
who,who is imam hussain ben ali whom shia people believe in ? 
who,who was william henry harrison ? 
who,who was the first black performer to have his own network tv show ? 
who,who directed the wild bunch ? 
who,who runs andy capp 's favorite pub ? 
who,who invented the game bowling ? 
who,who is the creator of `` the muppets '' ? 
who,who asked you to do the loco-motion with her in 1962 ? 
who,who made the first surfboard ? 
who,who is the greek god of the sea ? 
who,who was the first woman governor of wyoming ? 
who,who was charles lindbergh 's wife ? 
who,who sings angel eyes from the 80 's ? 
who,who wrote ` hamlet ' ? 
who,who was the russian ambassador to hungary during the 1956 uprising ? 
who,who holds the nfl record for most touchdowns in a season ? 
who,who is shirley maclaine ? 
who,who wrote ` the pines of rome ' ? 
who,"who played for the chicago bears , houston oilers and oakland raiders in a 26-year pro football career ? "
who,who leads the star ship enterprise in star trek ? 
who,who won world war ii ? 
who,who was garrett morgan married to ? 
who,who is ishmael in moby dick ? 
who,who was the conservationist who served as spokesperson for post grape nuts ? 
who,who was whitcomb judson ? 
who,who shoplifts ? 
unknown,whose image is alleged to be on the shroud of turin ? 
who,who said : `` the victor will never be asked if he told the truth '' ? 
who,who is langston hughes ? 
who,"who wrote the book , `` the grinch who stole christmas '' ? "
who,who seized power from milton obote in 1971 ? 
who,who is the prophet of medina ? 
unknown,"whose funeral train traveled from washington d.c. to springfield , illinois ? "
who,who is the queen of holland ? 
who,"who says , `` if you don 't look good , we don 't look good '' ? "
who,who was secretary of state during the nixon administration ? 
who,who is johnny carson ? 
who,who painted `` soft self-portrait with grilled bacon '' ? 
who,who killed caesar ? 
who,who is count cinzano ? 
who,who 's won the most oscars for costume design ? 
who,who wrote the red badge of courage ? 
who,who invented the road traffic cone ? 
who,who won the battle of gettysburg ? 
who,"who was the captain of the tanker , exxon valdez , involved in the oil spill in prince william sound , alaska , 1989 ? "
who,who is stephen hawking ? 
who,what actor came to dinner in guess who 's coming to dinner ? 
who,who was the first actress to appear on a postage stamp ? 
who,who was the first black woman to star in the folies bergeres ? 
who,who asked the musical question : `` have you ever been to electric lady land ? 
who,who wrote : `` poems are made by fools like me but only god can make a tree '' ? 
who,"who played the part of the godfather in the movie , ` the godfather ' ? "
who,who invented the wonderbra ? 
who,who owns the st. louis rams ? 
who,who made the most appearances in the center square on hollywood squares ? 
who,who said `` the only thing we have to fear is fear itself '' ? 
who,who is the sexiest women in the world ? 
who,who was the supreme god of germanic religion ? 
who,who 's played the most games for the new york yankees ? 
who,who won the superbowl in ? 
who,who directed citizen kane ? 
unknown,"whose special bear 's creator was born on january 18 , 1779 ? "
who,who said : `` what contemptible scoundrel stole the cork from my lunch ? '' 
who,who was the author of the famous fairy tale `` snow white and seven dwarfs '' ? 
who,who is behind the name of the harvey wallbanger drink ? 
who,who is the premier of china ? 
who,who was the president of vichy france ? 
unknown,whose kidnaping was termed the crime of the century ? 
who,who first broke the sound barrier ? 
who,who was scrooge 's dead partner in dickens 's a christmas carol ? 
who,who recorded the 1957 hit tammy ? 
who,who is mia farrow 's mother ? 
who,who was the only president to serve two nonconsecutive terms ? 
who,who reports the weather on the `` good morning america '' television show ? 
who,"who sent the brief message `` i came , i saw , i conquered '' ? "
who,who are the nomadic hunting and gathering tribe of the kalahari desert in africa ? 
who,who won a pulitzer prize for his novel the caine mutiny ? 
who,who portrayed sherlock holmes in 14 films between 1939 and 1946 ? 
who,who claimed to be the world 's most perfectly-developed man ? 
who,who portrayed carl bernstein in all the president 's men ? 
who,who was tiny tim 's father ? 
who,who was bonnie blue butler 's father ? 
who,who is the antichrist ? 
who,who was the lawyer who represented randy steven craft ? 
who,who wrote the farmer 's almanac ? 
who,who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ? 
who,who was quetzalcoatl ? 
who,who is the prime minister of japan ? 
who,"who wrote the book , `` song of solomon '' ? "
who,who is the president of the spanish government ? 
who,who holds the career record for the most major league home runs ? 
who,who invented the stethoscope ? 
who,who retired with 755 home runs to his credit ? 
who,who developed potlatch ? 
who,who is the actress bette davis once said she wished she looked like ? 
when,when did iraqi troops invade kuwait ? 
when,when was the slinky invented ? 
when,when was dick clark born ? 
when,when did the `` star-spangled banner '' become the national anthem ? 
when,when did israel begin turning the gaza strip and jericho over to the plo ? 
when,when were the olympic games in which nadia comaneci became popular played ? 
when,when did fraze get his first patent for the pull-tab can ? 
when,when was the triangle shirtwaist fire ? 
when,when were fish first believed to be found on earth ? 
when,when is president nixon 's birthday ? 
when,when will the millennium officially begin ? 
when,when was cnn 's first broadcast ? 
when,when were camcorders introduced in malaysia ? 
when,when was queen victoria born ? 
when,when was yemen reunified ? 
when,"when did aldous huxley write , `` brave new world '' ? "
when,"when the tutankhamun exhibit was on display in the u.s. , what moving company transported it ? "
when,when did humans first begin to write history seriously ? 
when,"when mighty mouse was conceived , what was his original name ? "
when,when was the first flush toilet invented ? 
when,when will jean aeul publish her next book ? 
when,"when it 's time to relax , what one beer stands clear ? "
when,when was the de beers company founded ? 
when,when did princess diana and prince charles get married ? 
when,when was the first barbie produced ? 
when,when did the jurassic period end ? 
when,when was the bill of rights ratified ? 
when,when was calypso music invented ? 
when,when did hitler come to power in germany ? 
when,when did gothic art and architecture flourish ? 
when,when was the internal combustion engine developed ? 
when,when do you plant winter wheat ? 
when,when did nostradamus believe world war iii would begin ? 
when,when was london 's docklands light railway constructed ? 
when,when do mormons believe christ was born ? 
when,when did theo rousseau paint the `` forest of fontaine '' ? 
when,when is the thai new year ? 
when,when was the g7 group of nations formed ? 
when,when did they canonize the bible ? 
when,when did the carolingian period begin ? 
when,"when superman needs to get away from it all , where does he go ? "
when,when did spain and korea start ambassadorial relations ? 
when,when did nixon die ? 
when,when is a woman most fertile ? 
when,when was the nfl established ? 
when,when was richard nixon born ? 
when,when is the sun closest to the earth ? 
when,when did amtrak begin operations ? 
when,when was john d. rockefeller born ? 
when,when was the congress of vienna ? 
when,when was franklin d. roosevelt stricken with polio ? 
when,what singer 's theme song was when the moon comes over the mountain ? 
when,when was the brandenburg gate in berlin built ? 
when,when did mount st. helens last erupt ? 
when,when was child labor abolished ? 
when,when was the hoover dam constructed ? 
when,"when not adventuring on rann , what does adam strange call his profession ? "
when,when was the first practical commercial typewriter marketed ? 
when,when did the chernobyl nuclear accident occur ? 
when,when was general manuel noriega ousted as the leader of panama and turned over to u.s. authorities ? 
when,when did thatcher become prime minister ? 
when,when was florida admitted into the union ? 
who,who portrayed the cowardly lion in the wizard of oz ? 
who,who was the first king of england ? 
who,who killed kurt cobain ? 
who,who created the monster in mary shelley 's novel frankenstein ? 
who,who was the first man to return to space ? 
who,who gave abbie hoffman his first dose of lsd ? 
who,who shot billy the kid ? 
who,who played sally rogers on the dick van dyke show ? 
who,who is the mathematician that won the noble prize for literature in 1950 ? 
who,who 's baby was sweet pea on the popeye cartoon ? 
who,"who did arthur h. bremer try to assassinate on may 15 , 1972 ? "
unknown,whom did friz freleng add to the warner bros. cartoon ranks ? 
who,who was shakespeare 's moorish general ? 
who,who taught matt murdock to use his extraordinary abilities in marvel comics ? 
who,who famously rode to warn the people of massachusetts that the british were coming ? 
who,who commanded the french forces at the battle of orleans ? 
who,who led the opposition when konrad adenauer was chancellor in germany ? 
who,who turned all he touched to gold ? 
who,who plays shortstop for charlie brown 's baseball team ? 
who,who was the most famous food editor of the new york times ? 
who,who was the last u.s. president to reinstate selective service registration ? 
who,who lived on the shores of the gitchee gumee river ? 
who,who is section manager for guidance and control systems at jpl ? 
who,who should i call to get a tour of the new york stock exchange ? 
who,who portrayed w.c. fields in the film w.c. fields and me ? 
who,who built the first successful stern wheel steamboat ? 
who,who was hitler 's minister of propaganda ? 
who,who was the first doctor to successfully transplant a liver ? 
who,who was the lawyer for randy steven craft ? 
who,who is reputed to be the greatest maker of violins ? 
who,who sued the dannon yougurt company for using a character named ron raider for promotion ? 
who,who was the first jockey to ride two triple crown winners ? 
who,who wrote brave new world ? 
who,who wrote unsafe at any speed ? 
who,"who created the world wide web , www ? "
who,who were leaders of the byzantine empire ? 
who,who was the first president to appoint a woman to head a cabinet ? 
who,who built the first pyramid ? 
who,who is the nebbish that is marvel 's official mascot ? 
who,who sang the song `` hooked on a feeling '' in the dancing baby episode of `` ally mcbeal '' ? 
who,"who was the columbia pictures head who forged actor cliff robertson 's name on a $1 , 000 check ? "
who,who was damocles ? 
unknown,whose biography by maurice zolotow is titled shooting star ? 
who,who was the first american citizen awarded the albert medal of the society of arts ? 
who,who founded the unification church ? 
who,who invented the lawnmower ? 
who,who shared a new york city apartment with roger maris the year he hit 61 home runs ? 
who,who is the director of intergovernmental affairs for the san diego county ? 
who,who directed the first woody woodpecker cartoon ? 
who,who killed lee harvey oswald ? 
who,who was red grange ? 
who,who invented the fax machine ? 
who,who wrote the poem that starts `` i love your lips when they 're wet with wine and red with a warm desire '' ? 
who,who was santos-dumont ? 
who,who is rocky 's and bullwinkle 's ever-lost friend ? 
who,who is robin williams ? 
who,who thought he 'd never see a poem lovely as a tree ? 
who,who created `` the muppets '' ? 
who,who else was considered for the role of luke skywalker when george lucas was casting for star wars ? 
who,who was the king who signed the magna carta ? 
who,who is the leader of india ? 
who,who is the prophet that is most connected to the dead sea ? 
who,who wrote `` the pit and the pendulum '' ? 
who,who is the incredible hulk in reality ? 
who,who are the presidents of mexico and indonesia ? 
who,who played al jolson in the jolson story ? 
who,who played emperor palpatine in star wars ? 
unknown,"whose husbands have included conrad hilton jr. , and michael wilding ? "
who,who is king in alley oop 's home of moo ? 
who,who invented the stock ticker in 1870 ? 
who,who wrote the bible ? 
who,who is henry butler ? 
who,who made the first airplane ? 
who,who was the first black to be head coach of a major league pro sports team ? 
who,"who is john macarthur , 1767-1834 ? "
who,who is peter weir ? 
who,who held the endurance record for women pilots in 1929 ? 
who,who are woody woodpecker 's niece and nephew ? 
who,who created maudie frickett ? 
who,who was the first english circumnavigator of the globe ? 
who,who made the largest cocaine seizure in ventura county history ? 
who,who liberated 19th century sicily and naples ? 
who,who appointed the chair of the federal reserve ? 
who,who is samuel f. pickering ? 
who,who founded the modern theory of probability ? 
who,who 's the king of swing ? 
who,who won the 1968 california democratic primary ? 
who,who spoke the only word in mel brooks 's silent movie ? 
who,who was the first russian astronaut to walk in space ? 
who,who wrote ` dubliners ' ? 
who,who is malaysia 's 43rd prime minister ? 
who,who founded the first aerodynamics laboratory in 1912 ? 
who,who said `` give me liberty or give me death '' ? 
who,who invented the pull-tab opener on cans ? 
unknown,whose acceptance speech of more than 3 minutes prompted a time limit on academy award thank-yous ? 
who,who declared : `` i think i 'll go out and milk the elk '' ? 
who,who was the actor who played sam in the movie casablanca ? 
who,who makes chicken `` finger lickin '' good ? 
who,who accompanied space ghost on his missions ? 
who,who was israel 's first prime minister ? 
who,who is desmond tutu ? 
who,who was the first person to study the stars ? 
who,"who is the author of the book , `` the iron lady : a biography of margaret thatcher '' ? "
who,who did doris day mean when she said : `` i call him ernie because he 's certainly no rock '' ? 
who,who is the owner of cnn ? 
who,who markets spaghetti-o 's ? 
who,who co-starred with julie andrews in mary poppins ? 
who,who was ezra taft benson ? 
who,who is pia zadora 's millionaire husband and mentor ? 
who,who was the first american world chess champion ? 
who,who was the last woman executed in england ? 
who,who is prince naseem hamed ? 
who,who made the first airplane that could fly ? 
who,who was international olympic committee chairman at the 1936 summer games ? 
affirmation,does this come with power cord and dishwasher hook up ? 
affirmation,will this one work to replace the badger 1 1/3 hp ? 
affirmation,is there a connection for the dish washer ? 
affirmation,can these be used for gas stove burner ? 
affirmation,is this for electric stoves ? 
affirmation,can you bake corn bread on this without it burnding. ? 
affirmation,can this be used on gas stove when making polenta which needs low heat. ? 
affirmation,do these work on induction cooktops ? 
affirmation,will this keep pour-over coffee carafe contents warmed atop a gas range flame ? 
affirmation,can this be used on gas stove when making polenta which needs low heat. ? 
affirmation,do these work on induction cooktops ? 
affirmation,can more than one water source be tested ? 
affirmation,does it have a colour indicator ? 
affirmation,is there an expiration date on any of the tests ? 
affirmation,does it test coliform/ e. coli ?? 
affirmation,does this test forlead ? 
affirmation,could i pay 1 shipping price if you bundle it ? 
affirmation,is this model for the #1855 holmes humidifier ? 
affirmation,does it work with kenmore humidifier? 
affirmation,do i need to tear off the black outside before i put the new filter into the machine ? 
affirmation,does this filter fit the holmes hm5100 ? 
affirmation,can this filter remove all mold spores ? 
affirmation,is this the same bulb as the euv-13b ? 
affirmation,does it fit vicks v3900 humidifier ? 
affirmation,will these range replacement knobs fit a tappan electric stove ? 
affirmation,do you have replacement knobs for hotpoint stove ? 
affirmation,will this fit thermador (oem: bosch) older cooktop? 
affirmation,does it have screens in place where the vents are to prevent lint from blowing out of the vent holes ? 
affirmation,can it be used for a gas drier ? 
affirmation,will the ltf lint dryer kit work on a gas dryer ? 
affirmation,does it have a backlight ? 
affirmation,is it possible to calibrate ? 
affirmation,"it's written that the dimensions are 7x7x4inches, is it right? "
affirmation,is it accurate ? 
affirmation,is there a lag time after you take it out of the box before it starts to work ? 
affirmation,could this be used outside in a enclosed patio and work accurately throughout the seasons ? 
affirmation,does this monitor read humidity levels below 16% ? 
affirmation,can it be wall mounted ? 
affirmation,has anyone used this on a brick driveway ? 
affirmation,does this pick up dust without blowing it out the bag ? 
affirmation,will this work on my astro turf sun deck for picking up bugs and leaves ? 
affirmation,will this work on astro turf to pick up small bugs and leaves ? 
affirmation,would this pick up pine needles on a lawn ? 
affirmation,does this fit the model 89q ? 
affirmation,does this filter work on all style 8 ? 
affirmation,does this fit ed11 600 device ? 
affirmation,are there six filters for the price shown ? 
affirmation,does it fit pf sw2mdca ss ? 
affirmation,will it work with gfe29hmdaes? 
affirmation,is this possible ? 
affirmation,can this filter be used under a sink ? 
affirmation,is this antimicrobial ? 
affirmation,are these lead free ? 
affirmation,"is this considered a ""fill hose"" ? "
affirmation,can it be settled on a bathtub ? 
affirmation,can i install on wall ? 
affirmation,is this easier to pull out than the plastic stopper ? 
affirmation,does this freezer automatically defrost ? 
affirmation,does this come with the case ? 
affirmation,does this have a cello tuner setting ? 
affirmation,is this appliance quiet enough to keep in the house as a spare? 
affirmation,does this protect from chemicals ? 
affirmation,can show temperature in celsius degrees ? 
affirmation,do they come in different sizes ? 
affirmation,can this model 1 cubic handle a king size sheet set ? 
affirmation,can it be installed with a copper sink ? 
affirmation,does it accommodate a dishwasher ? 
affirmation,can these be recycled some way ? 
affirmation,which water filter cap replacement (white color) should i use for this filter ? 
affirmation,does this model have the damper included for the seven inch duct ? 
affirmation,can an extended warranty be purchased for this product ? 
affirmation,is the freezer frost free ? 
affirmation,could someone give me the dimensions ? 
affirmation,are these drip pans dishwasher safe ? 
affirmation,do these cooktops require 220 outlet ? 
affirmation,will this work to connect a wgd9200sq0 to a wfw9150ww00 washer ? 
affirmation,does it work for whirlpool duet ht - washer/dryer from 2005 ? 
affirmation,does the old stack kit fit on the new washer and old dryer ? 
affirmation,is this downdraft ventilation ? 
affirmation,does the stainless steel trim get scratched by the cookware ? 
affirmation,would this work with the whirlpool duet sports front load washer and dryers ? 
affirmation,is it made in usa ? 
affirmation,is the cooking grate removable ? 
affirmation,can the cooking grate be removed from the ring ? 
affirmation,are the last two numbers the gal ? 
affirmation,can you verify the dimensions for me ? 
affirmation,can this tank be used for black water ? 
affirmation,can you use on a airplane ? 
affirmation,will it fit a 10 ft. ceiling? 
affirmation,are the lights dimmable? 
affirmation,do you ship item to pr? 
affirmation,can i just throw them in trash ? 
affirmation,are they made in the usa ? 
affirmation,do you sell an extension kit available for 10' ceilings ? 
affirmation,is it loud ? 
affirmation,can it be cut to fit ? 
affirmation,can it be removed ? 
affirmation,does this hose have one ? 
affirmation,can i get it in india ? 
affirmation,would this work on a 2008 ford edge with a naked roof ? 
